[config] spreadsheet_id='1nNAXy6rvBnGR8ACnqKKzKNA4-UwZtZp47i806EPmR_8'
2026-06-04 23:07:24 [INFO] 目標試算表 ID 來源：主控試算表系統設定
2026-06-04 23:07:24 [INFO] === 客服排程系統 run_id=89630d44 step=3 台北時間=2026-06-05 07:07:24 ===
2026-06-04 23:07:24 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-06-04 23:07:30 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-06-04 23:07:45 [INFO]   [mail] text/plain 為空，fallback 到 text/html（3679 字元）
2026-06-04 23:07:49 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-06-04 23:07:49 [INFO]   [debug] 行66 repr='2026-06-02：29分'
2026-06-04 23:07:49 [INFO]   [debug] 行67 repr='2026-06-03：217分'
2026-06-04 23:07:49 [INFO]   [debug] 行68 repr='2026-06-04：197分'
2026-06-04 23:07:49 [INFO]   [debug] 行69 repr='【家電清潔】日營業額'
2026-06-04 23:07:49 [INFO]   [debug] 行70 repr='2026-06-02：0分'
2026-06-04 23:07:49 [INFO]   [debug] 行71 repr='2026-06-03：0分'
2026-06-04 23:07:49 [INFO]   [debug] 行72 repr='2026-06-04：0分'
2026-06-04 23:07:49 [INFO]   [debug] 行73 repr='【儲值金】日營業額'
2026-06-04 23:08:04 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1130 字元）
2026-06-04 23:08:07 [INFO]   近三日營業額-台中 → 選中 17:25:08（與17:25差8s）
2026-06-04 23:08:07 [INFO]   [debug] 行25 repr='2026-06-02：6分'
2026-06-04 23:08:07 [INFO]   [debug] 行26 repr='2026-06-03：0分'
2026-06-04 23:08:07 [INFO]   [debug] 行27 repr='2026-06-04：11分'
2026-06-04 23:08:07 [INFO]   [debug] 行28 repr='【家電清潔】日營業額'
2026-06-04 23:08:07 [INFO]   [debug] 行29 repr='2026-06-02：0分'
2026-06-04 23:08:07 [INFO]   [debug] 行30 repr='2026-06-03：0分'
2026-06-04 23:08:07 [INFO]   [debug] 行31 repr='2026-06-04：0分'
2026-06-04 23:08:07 [INFO]   [debug] 行32 repr='【儲值金】日營業額'
2026-06-04 23:08:07 [INFO]   台北：{'daily_value': 197, 'total_count': 475, 'total_amount': 949700}
2026-06-04 23:08:07 [INFO]   台中：{'daily_value': 11, 'total_count': 19, 'total_amount': 37200}
2026-06-04 23:08:09 [INFO] Step 3 完成，row=2301（37.7s）
2026-06-04 23:08:10 [INFO] === 全部完成 run_id=89630d44（38.7s）===
