[config] spreadsheet_id='1nNAXy6rvBnGR8ACnqKKzKNA4-UwZtZp47i806EPmR_8'
2026-06-10 23:24:19 [INFO] 目標試算表 ID 來源：主控試算表系統設定
2026-06-10 23:24:19 [INFO] === 客服排程系統 run_id=d21f76bb step=3 台北時間=2026-06-11 07:24:18 ===
2026-06-10 23:24:19 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-06-10 23:24:28 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-06-10 23:24:44 [INFO]   [mail] text/plain 為空，fallback 到 text/html（3023 字元）
2026-06-10 23:24:50 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-06-10 23:24:50 [INFO]   [debug] 行55 repr='2026-06-08：103分'
2026-06-10 23:24:50 [INFO]   [debug] 行56 repr='2026-06-09：52分'
2026-06-10 23:24:50 [INFO]   [debug] 行57 repr='2026-06-10：49分'
2026-06-10 23:24:50 [INFO]   [debug] 行58 repr='【家電清潔】日營業額'
2026-06-10 23:24:50 [INFO]   [debug] 行59 repr='2026-06-08：0分'
2026-06-10 23:24:50 [INFO]   [debug] 行60 repr='2026-06-09：0分'
2026-06-10 23:24:50 [INFO]   [debug] 行61 repr='2026-06-10：0分'
2026-06-10 23:24:50 [INFO]   [debug] 行62 repr='【儲值金】日營業額'
2026-06-10 23:25:01 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1262 字元）
2026-06-10 23:25:04 [INFO]   近三日營業額-台中 → 選中 17:25:07（與17:25差7s）
2026-06-10 23:25:04 [INFO]   [debug] 行27 repr='2026-06-08：11分'
2026-06-10 23:25:04 [INFO]   [debug] 行28 repr='2026-06-09：1分'
2026-06-10 23:25:04 [INFO]   [debug] 行29 repr='2026-06-10：15分'
2026-06-10 23:25:04 [INFO]   [debug] 行30 repr='【家電清潔】日營業額'
2026-06-10 23:25:04 [INFO]   [debug] 行31 repr='2026-06-08：0分'
2026-06-10 23:25:04 [INFO]   [debug] 行32 repr='2026-06-09：0分'
2026-06-10 23:25:04 [INFO]   [debug] 行33 repr='2026-06-10：0分'
2026-06-10 23:25:04 [INFO]   [debug] 行34 repr='【儲值金】日營業額'
2026-06-10 23:25:04 [INFO]   台北：{'daily_value': 49, 'total_count': 922, 'total_amount': 1843100}
2026-06-10 23:25:04 [INFO]   台中：{'daily_value': 15, 'total_count': 92, 'total_amount': 183200}
2026-06-10 23:25:06 [INFO] Step 3 完成，row=2307（37.5s）
2026-06-10 23:25:07 [INFO] === 全部完成 run_id=d21f76bb（38.5s）===
