[config] spreadsheet_id='1nNAXy6rvBnGR8ACnqKKzKNA4-UwZtZp47i806EPmR_8'
2026-08-08 22:24:32 [INFO] 目標試算表 ID 來源：主控試算表系統設定
2026-08-08 22:24:32 [INFO] === 客服排程系統 run_id=2ac44ed4 step=3 台北時間=2026-08-09 06:24:32 ===
2026-08-08 22:24:32 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-08-08 22:24:41 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-08-08 22:24:53 [INFO]   [mail] text/plain 為空，fallback 到 text/html（3073 字元）
2026-08-08 22:25:00 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-08-08 22:25:00 [INFO]   [debug] 行56 repr='2026-08-06：104分'
2026-08-08 22:25:00 [INFO]   [debug] 行57 repr='2026-08-07：108分'
2026-08-08 22:25:00 [INFO]   [debug] 行58 repr='2026-08-08：3分'
2026-08-08 22:25:00 [INFO]   [debug] 行59 repr='【家電清潔】日營業額'
2026-08-08 22:25:00 [INFO]   [debug] 行60 repr='2026-08-06：0分'
2026-08-08 22:25:00 [INFO]   [debug] 行61 repr='2026-08-07：0分'
2026-08-08 22:25:00 [INFO]   [debug] 行62 repr='2026-08-08：0分'
2026-08-08 22:25:00 [INFO]   [debug] 行63 repr='【儲值金】日營業額'
2026-08-08 22:25:06 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1119 字元）
2026-08-08 22:25:09 [INFO]   近三日營業額-台中 → 選中 17:25:07（與17:25差7s）
2026-08-08 22:25:09 [INFO]   [debug] 行25 repr='2026-08-06：38分'
2026-08-08 22:25:09 [INFO]   [debug] 行26 repr='2026-08-07：0分'
2026-08-08 22:25:09 [INFO]   [debug] 行27 repr='2026-08-08：0分'
2026-08-08 22:25:09 [INFO]   [debug] 行28 repr='【家電清潔】日營業額'
2026-08-08 22:25:09 [INFO]   [debug] 行29 repr='2026-08-06：0分'
2026-08-08 22:25:09 [INFO]   [debug] 行30 repr='2026-08-07：0分'
2026-08-08 22:25:09 [INFO]   [debug] 行31 repr='2026-08-08：0分'
2026-08-08 22:25:09 [INFO]   [debug] 行32 repr='【儲值金】日營業額'
2026-08-08 22:25:09 [INFO]   台北：{'daily_value': 3, 'total_count': 490, 'total_amount': 979400}
2026-08-08 22:25:09 [INFO]   台中：{'daily_value': 0, 'total_count': 45, 'total_amount': 89200}
2026-08-08 22:25:10 [INFO] Step 3 完成，row=2366（27.8s）
2026-08-08 22:25:11 [INFO] === 全部完成 run_id=2ac44ed4（29.2s）===
