2026-08-09 22:12:35 [INFO] === 客服排程系統 run_id=c598ab55 step=3 台北時間=2026-08-10 06:12:35 ===
2026-08-09 22:12:35 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-08-09 22:12:35 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-08-09 22:12:46 [WARNING] [執行檔打卡失敗（非致命）] APIError: [429]: Quota exceeded for quota metric 'Read requests' and limit 'Read requests per minute per user' of service 'sheets.googleapis.com' for consumer 'project_number:1042663213860'.
2026-08-09 22:12:46 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-08-09 22:12:47 [WARNING] [執行檔打卡失敗（非致命）] APIError: [429]: Quota exceeded for quota metric 'Read requests' and limit 'Read requests per minute per user' of service 'sheets.googleapis.com' for consumer 'project_number:1042663213860'.
2026-08-09 22:12:47 [WARNING] 開啟客服目標試算表 遇到 Sheets API 配額限制；15 秒後重試（1/4）：APIError: [429]: Quota exceeded for quota metric 'Read requests' and limit 'Read requests per minute per user' of service 'sheets.googleapis.com' for consumer 'project_number:1042663213860'.
2026-08-09 22:13:02 [WARNING] 開啟客服目標試算表 遇到 Sheets API 配額限制；30 秒後重試（2/4）：APIError: [429]: Quota exceeded for quota metric 'Read requests' and limit 'Read requests per minute per user' of service 'sheets.googleapis.com' for consumer 'project_number:1042663213860'.
2026-08-09 22:13:40 [INFO]   [mail] text/plain 為空，fallback 到 text/html（2385 字元）
2026-08-09 22:13:43 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-08-09 22:13:43 [INFO]   [debug] 行45 repr='2026-08-07：108分'
2026-08-09 22:13:43 [INFO]   [debug] 行46 repr='2026-08-08：11分'
2026-08-09 22:13:43 [INFO]   [debug] 行47 repr='2026-08-09：4分'
2026-08-09 22:13:43 [INFO]   [debug] 行48 repr='【家電清潔】日營業額'
2026-08-09 22:13:43 [INFO]   [debug] 行49 repr='2026-08-07：0分'
2026-08-09 22:13:43 [INFO]   [debug] 行50 repr='2026-08-08：0分'
2026-08-09 22:13:43 [INFO]   [debug] 行51 repr='2026-08-09：0分'
2026-08-09 22:13:43 [INFO]   [debug] 行52 repr='【儲值金】日營業額'
2026-08-09 22:13:50 [INFO]   [mail] text/plain 為空，fallback 到 text/html（868 字元）
2026-08-09 22:13:53 [INFO]   近三日營業額-台中 → 選中 17:25:07（與17:25差7s）
2026-08-09 22:13:53 [INFO]   [debug] 行21 repr='2026-08-07：0分'
2026-08-09 22:13:53 [INFO]   [debug] 行22 repr='2026-08-08：0分'
2026-08-09 22:13:53 [INFO]   [debug] 行23 repr='2026-08-09：0分'
2026-08-09 22:13:53 [INFO]   [debug] 行24 repr='【家電清潔】日營業額'
2026-08-09 22:13:53 [INFO]   [debug] 行25 repr='2026-08-07：0分'
2026-08-09 22:13:53 [INFO]   [debug] 行26 repr='2026-08-08：0分'
2026-08-09 22:13:53 [INFO]   [debug] 行27 repr='2026-08-09：0分'
2026-08-09 22:13:53 [INFO]   [debug] 行28 repr='【儲值金】日營業額'
2026-08-09 22:13:53 [INFO]   台北：{'daily_value': 4, 'total_count': 501, 'total_amount': 1002200}
2026-08-09 22:13:53 [INFO]   台中：{'daily_value': 0, 'total_count': 45, 'total_amount': 89200}
2026-08-09 22:13:54 [INFO] Step 3 完成，row=2367（67.0s）
2026-08-09 22:13:55 [INFO] === 全部完成 run_id=c598ab55（68.2s）===
