2026-08-12 00:03:15 [INFO] === 客服排程系統 run_id=b43de1bc step=3 台北時間=2026-08-12 08:03:15 ===
2026-08-12 00:03:15 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-08-12 00:03:15 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-08-12 00:03:21 [WARNING] [主控表打卡失敗（非致命）] <HttpError 429 when requesting https://sheets.googleapis.com/v4/spreadsheets/1nNAXy6rvBnGR8ACnqKKzKNA4-UwZtZp47i806EPmR_8/values/%E6%9C%88%E6%8E%92%E7%A8%8B%E5%9F%B7%E8%A1%8CLog%21A1%3AZ1?alt=json returned "Quota exceeded for quota metric 'Read requests' and limit 'Read requests per minute per user' of service 'sheets.googleapis.com' for consumer 'project_number:1042663213860'.". Details: "[{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'RATE_LIMIT_EXCEEDED', 'domain': 'googleapis.com', 'metadata': {'quota_limit': 'ReadRequestsPerMinutePerUser', 'quota_limit_value': '60', 'quota_metric': 'sheets.googleapis.com/read_requests', 'quota_unit': '1/min/{project}/{user}', 'service': 'sheets.googleapis.com', 'consumer': 'projects/1042663213860', 'quota_location': 'global'}}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Request a higher quota limit.', 'url': 'https://cloud.google.com/docs/quotas/help/request_increase'}]}]">
2026-08-12 00:03:22 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-08-12 00:03:42 [INFO]   [mail] text/plain 為空，fallback 到 text/html（2773 字元）
2026-08-12 00:03:45 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-08-12 00:03:45 [INFO]   [debug] 行51 repr='2026-08-09：4分'
2026-08-12 00:03:45 [INFO]   [debug] 行52 repr='2026-08-10：57分'
2026-08-12 00:03:45 [INFO]   [debug] 行53 repr='2026-08-11：36分'
2026-08-12 00:03:45 [INFO]   [debug] 行54 repr='【家電清潔】日營業額'
2026-08-12 00:03:45 [INFO]   [debug] 行55 repr='2026-08-09：0分'
2026-08-12 00:03:45 [INFO]   [debug] 行56 repr='2026-08-10：0分'
2026-08-12 00:03:45 [INFO]   [debug] 行57 repr='2026-08-11：0分'
2026-08-12 00:03:45 [INFO]   [debug] 行58 repr='【儲值金】日營業額'
2026-08-12 00:03:57 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1004 字元）
2026-08-12 00:03:58 [INFO]   近三日營業額-台中 → 選中 17:25:08（與17:25差8s）
2026-08-12 00:03:58 [INFO]   [debug] 行23 repr='2026-08-09：0分'
2026-08-12 00:03:58 [INFO]   [debug] 行24 repr='2026-08-10：25分'
2026-08-12 00:03:58 [INFO]   [debug] 行25 repr='2026-08-11：2分'
2026-08-12 00:03:58 [INFO]   [debug] 行26 repr='【家電清潔】日營業額'
2026-08-12 00:03:58 [INFO]   [debug] 行27 repr='2026-08-09：0分'
2026-08-12 00:03:58 [INFO]   [debug] 行28 repr='2026-08-10：0分'
2026-08-12 00:03:58 [INFO]   [debug] 行29 repr='2026-08-11：0分'
2026-08-12 00:03:58 [INFO]   [debug] 行30 repr='【儲值金】日營業額'
2026-08-12 00:03:58 [INFO]   台北：{'daily_value': 36, 'total_count': 593, 'total_amount': 1186900}
2026-08-12 00:03:58 [INFO]   台中：{'daily_value': 2, 'total_count': 72, 'total_amount': 144000}
2026-08-12 00:04:01 [INFO] Step 3 完成，row=2369（37.6s）
2026-08-12 00:04:02 [INFO] === 全部完成 run_id=b43de1bc（39.1s）===
