2026-08-14 22:19:16 [INFO] === 客服排程系統 run_id=d668edb5 step=3 台北時間=2026-08-15 06:19:16 ===
2026-08-14 22:19:16 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-08-14 22:19:16 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-08-14 22:19:28 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-08-14 22:19:52 [INFO]   [mail] text/plain 為空，fallback 到 text/html（3673 字元）
2026-08-14 22:19:57 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-08-14 22:19:57 [INFO]   [debug] 行65 repr='2026-08-12：60分'
2026-08-14 22:19:57 [INFO]   [debug] 行66 repr='2026-08-13：44分'
2026-08-14 22:19:57 [INFO]   [debug] 行67 repr='2026-08-14：55分'
2026-08-14 22:19:57 [INFO]   [debug] 行68 repr='【家電清潔】日營業額'
2026-08-14 22:19:57 [INFO]   [debug] 行69 repr='2026-08-12：0分'
2026-08-14 22:19:57 [INFO]   [debug] 行70 repr='2026-08-13：0分'
2026-08-14 22:19:57 [INFO]   [debug] 行71 repr='2026-08-14：0分'
2026-08-14 22:19:57 [INFO]   [debug] 行72 repr='【儲值金】日營業額'
2026-08-14 22:20:10 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1066 字元）
2026-08-14 22:20:11 [INFO]   近三日營業額-台中 → 選中 17:25:08（與17:25差8s）
2026-08-14 22:20:11 [INFO]   [debug] 行24 repr='2026-08-12：0分'
2026-08-14 22:20:11 [INFO]   [debug] 行25 repr='2026-08-13：4分'
2026-08-14 22:20:11 [INFO]   [debug] 行26 repr='2026-08-14：2分'
2026-08-14 22:20:11 [INFO]   [debug] 行27 repr='【家電清潔】日營業額'
2026-08-14 22:20:11 [INFO]   [debug] 行28 repr='2026-08-12：0分'
2026-08-14 22:20:11 [INFO]   [debug] 行29 repr='2026-08-13：0分'
2026-08-14 22:20:11 [INFO]   [debug] 行30 repr='2026-08-14：0分'
2026-08-14 22:20:11 [INFO]   [debug] 行31 repr='【儲值金】日營業額'
2026-08-14 22:20:11 [INFO]   台北：{'daily_value': 55, 'total_count': 756, 'total_amount': 1511200}
2026-08-14 22:20:11 [INFO]   台中：{'daily_value': 2, 'total_count': 83, 'total_amount': 166200}
2026-08-14 22:20:13 [INFO] Step 3 完成，row=2372（43.7s）
2026-08-14 22:20:14 [INFO] === 全部完成 run_id=d668edb5（44.7s）===
