2026-08-15 22:17:52 [INFO] === 客服排程系統 run_id=ab2466c8 step=3 台北時間=2026-08-16 06:17:52 ===
2026-08-15 22:17:52 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-08-15 22:17:52 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-08-15 22:18:01 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-08-15 22:18:17 [INFO]   [mail] text/plain 為空，fallback 到 text/html（3593 字元）
2026-08-15 22:18:22 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-08-15 22:18:22 [INFO]   [debug] 行64 repr='2026-08-13：44分'
2026-08-15 22:18:22 [INFO]   [debug] 行65 repr='2026-08-14：58分'
2026-08-15 22:18:22 [INFO]   [debug] 行66 repr='2026-08-15：26分'
2026-08-15 22:18:22 [INFO]   [debug] 行67 repr='【家電清潔】日營業額'
2026-08-15 22:18:22 [INFO]   [debug] 行68 repr='2026-08-13：0分'
2026-08-15 22:18:22 [INFO]   [debug] 行69 repr='2026-08-14：0分'
2026-08-15 22:18:22 [INFO]   [debug] 行70 repr='2026-08-15：0分'
2026-08-15 22:18:22 [INFO]   [debug] 行71 repr='【儲值金】日營業額'
2026-08-15 22:18:37 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1066 字元）
2026-08-15 22:18:39 [INFO]   近三日營業額-台中 → 選中 17:25:08（與17:25差8s）
2026-08-15 22:18:39 [INFO]   [debug] 行24 repr='2026-08-13：4分'
2026-08-15 22:18:39 [INFO]   [debug] 行25 repr='2026-08-14：2分'
2026-08-15 22:18:39 [INFO]   [debug] 行26 repr='2026-08-15：0分'
2026-08-15 22:18:39 [INFO]   [debug] 行27 repr='【家電清潔】日營業額'
2026-08-15 22:18:39 [INFO]   [debug] 行28 repr='2026-08-13：0分'
2026-08-15 22:18:39 [INFO]   [debug] 行29 repr='2026-08-14：0分'
2026-08-15 22:18:39 [INFO]   [debug] 行30 repr='2026-08-15：0分'
2026-08-15 22:18:39 [INFO]   [debug] 行31 repr='【儲值金】日營業額'
2026-08-15 22:18:39 [INFO]   台北：{'daily_value': 26, 'total_count': 785, 'total_amount': 1570000}
2026-08-15 22:18:39 [INFO]   台中：{'daily_value': 0, 'total_count': 83, 'total_amount': 166200}
2026-08-15 22:18:41 [INFO] Step 3 完成，row=2373（38.3s）
2026-08-15 22:18:42 [INFO] === 全部完成 run_id=ab2466c8（39.3s）===
