2026-08-17 22:20:53 [INFO] === 客服排程系統 run_id=46ae4f8d step=3 台北時間=2026-08-18 06:20:53 ===
2026-08-17 22:20:53 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-08-17 22:20:53 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-08-17 22:21:03 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-08-17 22:21:26 [INFO]   [mail] text/plain 為空，fallback 到 text/html（4591 字元）
2026-08-17 22:21:32 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-08-17 22:21:32 [INFO]   [debug] 行80 repr='2026-08-15：31分'
2026-08-17 22:21:32 [INFO]   [debug] 行81 repr='2026-08-16：27分'
2026-08-17 22:21:32 [INFO]   [debug] 行82 repr='2026-08-17：66分'
2026-08-17 22:21:32 [INFO]   [debug] 行83 repr='【家電清潔】日營業額'
2026-08-17 22:21:32 [INFO]   [debug] 行84 repr='2026-08-15：0分'
2026-08-17 22:21:32 [INFO]   [debug] 行85 repr='2026-08-16：0分'
2026-08-17 22:21:32 [INFO]   [debug] 行86 repr='2026-08-17：0分'
2026-08-17 22:21:32 [INFO]   [debug] 行87 repr='【儲值金】日營業額'
2026-08-17 22:22:23 [INFO]   [mail] text/plain 為空，fallback 到 text/html（936 字元）
2026-08-17 22:22:27 [INFO]   近三日營業額-台中 → 選中 17:25:08（與17:25差8s）
2026-08-17 22:22:27 [INFO]   [debug] 行22 repr='2026-08-15：0分'
2026-08-17 22:22:27 [INFO]   [debug] 行23 repr='2026-08-16：0分'
2026-08-17 22:22:27 [INFO]   [debug] 行24 repr='2026-08-17：2分'
2026-08-17 22:22:27 [INFO]   [debug] 行25 repr='【家電清潔】日營業額'
2026-08-17 22:22:27 [INFO]   [debug] 行26 repr='2026-08-15：0分'
2026-08-17 22:22:27 [INFO]   [debug] 行27 repr='2026-08-16：0分'
2026-08-17 22:22:27 [INFO]   [debug] 行28 repr='2026-08-17：0分'
2026-08-17 22:22:27 [INFO]   [debug] 行29 repr='【儲值金】日營業額'
2026-08-17 22:22:27 [INFO]   台北：{'daily_value': 66, 'total_count': 881, 'total_amount': 1762500}
2026-08-17 22:22:27 [INFO]   台中：{'daily_value': 2, 'total_count': 85, 'total_amount': 169800}
2026-08-17 22:22:28 [INFO] Step 3 完成，row=2375（84.0s）
2026-08-17 22:22:30 [INFO] === 全部完成 run_id=46ae4f8d（85.0s）===
