2026-08-18 22:19:24 [INFO] === 客服排程系統 run_id=f206f2cd step=3 台北時間=2026-08-19 06:19:24 ===
2026-08-18 22:19:24 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-08-18 22:19:24 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-08-18 22:19:39 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-08-18 22:20:07 [INFO]   [mail] text/plain 為空，fallback 到 text/html（5414 字元）
2026-08-18 22:20:16 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-08-18 22:20:16 [INFO]   [debug] 行93 repr='2026-08-16：27分'
2026-08-18 22:20:16 [INFO]   [debug] 行94 repr='2026-08-17：89分'
2026-08-18 22:20:16 [INFO]   [debug] 行95 repr='2026-08-18：48分'
2026-08-18 22:20:16 [INFO]   [debug] 行96 repr='【家電清潔】日營業額'
2026-08-18 22:20:16 [INFO]   [debug] 行97 repr='2026-08-16：0分'
2026-08-18 22:20:16 [INFO]   [debug] 行98 repr='2026-08-17：0分'
2026-08-18 22:20:16 [INFO]   [debug] 行99 repr='2026-08-18：0分'
2026-08-18 22:20:16 [INFO]   [debug] 行100 repr='【儲值金】日營業額'
2026-08-18 22:20:36 [INFO]   [mail] text/plain 為空，fallback 到 text/html（999 字元）
2026-08-18 22:20:43 [INFO]   近三日營業額-台中 → 選中 17:25:08（與17:25差8s）
2026-08-18 22:20:43 [INFO]   [debug] 行23 repr='2026-08-16：0分'
2026-08-18 22:20:43 [INFO]   [debug] 行24 repr='2026-08-17：5分'
2026-08-18 22:20:43 [INFO]   [debug] 行25 repr='2026-08-18：0分'
2026-08-18 22:20:43 [INFO]   [debug] 行26 repr='【家電清潔】日營業額'
2026-08-18 22:20:43 [INFO]   [debug] 行27 repr='2026-08-16：0分'
2026-08-18 22:20:43 [INFO]   [debug] 行28 repr='2026-08-17：0分'
2026-08-18 22:20:43 [INFO]   [debug] 行29 repr='2026-08-18：0分'
2026-08-18 22:20:43 [INFO]   [debug] 行30 repr='【儲值金】日營業額'
2026-08-18 22:20:43 [INFO]   台北：{'daily_value': 48, 'total_count': 952, 'total_amount': 1903900}
2026-08-18 22:20:43 [INFO]   台中：{'daily_value': 0, 'total_count': 89, 'total_amount': 177000}
2026-08-18 22:20:44 [INFO] Step 3 完成，row=2376（64.6s）
2026-08-18 22:20:46 [INFO] === 全部完成 run_id=f206f2cd（65.8s）===
