2026-08-19 22:20:48 [INFO] === 客服排程系統 run_id=cc76e06a step=3 台北時間=2026-08-20 06:20:48 ===
2026-08-19 22:20:48 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-08-19 22:20:48 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-08-19 22:21:02 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-08-19 22:21:17 [INFO]   [mail] text/plain 為空，fallback 到 text/html（6590 字元）
2026-08-19 22:21:23 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-08-19 22:21:23 [INFO]   [debug] 行111 repr='2026-08-17：89分'
2026-08-19 22:21:23 [INFO]   [debug] 行112 repr='2026-08-18：53分'
2026-08-19 22:21:23 [INFO]   [debug] 行113 repr='2026-08-19：75分'
2026-08-19 22:21:23 [INFO]   [debug] 行114 repr='【家電清潔】日營業額'
2026-08-19 22:21:23 [INFO]   [debug] 行115 repr='2026-08-17：0分'
2026-08-19 22:21:23 [INFO]   [debug] 行116 repr='2026-08-18：0分'
2026-08-19 22:21:23 [INFO]   [debug] 行117 repr='2026-08-19：0分'
2026-08-19 22:21:23 [INFO]   [debug] 行118 repr='【儲值金】日營業額'
2026-08-19 22:21:59 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1131 字元）
2026-08-19 22:22:08 [INFO]   近三日營業額-台中 → 選中 17:25:08（與17:25差8s）
2026-08-19 22:22:08 [INFO]   [debug] 行25 repr='2026-08-17：5分'
2026-08-19 22:22:08 [INFO]   [debug] 行26 repr='2026-08-18：0分'
2026-08-19 22:22:08 [INFO]   [debug] 行27 repr='2026-08-19：5分'
2026-08-19 22:22:08 [INFO]   [debug] 行28 repr='【家電清潔】日營業額'
2026-08-19 22:22:08 [INFO]   [debug] 行29 repr='2026-08-17：0分'
2026-08-19 22:22:08 [INFO]   [debug] 行30 repr='2026-08-18：0分'
2026-08-19 22:22:08 [INFO]   [debug] 行31 repr='2026-08-19：0分'
2026-08-19 22:22:08 [INFO]   [debug] 行32 repr='【儲值金】日營業額'
2026-08-19 22:22:08 [INFO]   台北：{'daily_value': 75, 'total_count': 1031, 'total_amount': 2062900}
2026-08-19 22:22:08 [INFO]   台中：{'daily_value': 5, 'total_count': 93, 'total_amount': 186600}
2026-08-19 22:22:10 [INFO] Step 3 完成，row=2377（66.5s）
2026-08-19 22:22:11 [INFO] === 全部完成 run_id=cc76e06a（67.8s）===
