2026-08-21 22:20:38 [INFO] === 客服排程系統 run_id=c8d555e3 step=3 台北時間=2026-08-22 06:20:38 ===
2026-08-21 22:20:38 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-08-21 22:20:38 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-08-21 22:20:53 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-08-21 22:21:14 [INFO]   [mail] text/plain 為空，fallback 到 text/html（5074 字元）
2026-08-21 22:21:17 [INFO]   近三日營業額-台北 → 選中 17:25:03（與17:25差3s）
2026-08-21 22:21:17 [INFO]   [debug] 行87 repr='2026-08-19：83分'
2026-08-21 22:21:17 [INFO]   [debug] 行88 repr='2026-08-20：55分'
2026-08-21 22:21:17 [INFO]   [debug] 行89 repr='2026-08-21：57分'
2026-08-21 22:21:17 [INFO]   [debug] 行90 repr='【家電清潔】日營業額'
2026-08-21 22:21:17 [INFO]   [debug] 行91 repr='2026-08-19：0分'
2026-08-21 22:21:17 [INFO]   [debug] 行92 repr='2026-08-20：0分'
2026-08-21 22:21:17 [INFO]   [debug] 行93 repr='2026-08-21：0分'
2026-08-21 22:21:17 [INFO]   [debug] 行94 repr='【儲值金】日營業額'
2026-08-21 22:21:29 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1068 字元）
2026-08-21 22:21:30 [INFO]   近三日營業額-台中 → 選中 17:25:06（與17:25差6s）
2026-08-21 22:21:30 [INFO]   [debug] 行24 repr='2026-08-19：5分'
2026-08-21 22:21:30 [INFO]   [debug] 行25 repr='2026-08-20：1分'
2026-08-21 22:21:30 [INFO]   [debug] 行26 repr='2026-08-21：0分'
2026-08-21 22:21:30 [INFO]   [debug] 行27 repr='【家電清潔】日營業額'
2026-08-21 22:21:30 [INFO]   [debug] 行28 repr='2026-08-19：0分'
2026-08-21 22:21:30 [INFO]   [debug] 行29 repr='2026-08-20：0分'
2026-08-21 22:21:30 [INFO]   [debug] 行30 repr='2026-08-21：0分'
2026-08-21 22:21:30 [INFO]   [debug] 行31 repr='【儲值金】日營業額'
2026-08-21 22:21:30 [INFO]   台北：{'daily_value': 57, 'total_count': 1152, 'total_amount': 2304100}
2026-08-21 22:21:30 [INFO]   台中：{'daily_value': 0, 'total_count': 95, 'total_amount': 189000}
2026-08-21 22:21:31 [INFO] Step 3 完成，row=2379（37.5s）
2026-08-21 22:21:32 [INFO] === 全部完成 run_id=c8d555e3（38.4s）===
