2026-08-23 22:17:56 [INFO] === 客服排程系統 run_id=b7c29275 step=3 台北時間=2026-08-24 06:17:56 ===
2026-08-23 22:17:56 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-08-23 22:17:56 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-08-23 22:18:14 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-08-23 22:18:25 [INFO]   [mail] text/plain 為空，fallback 到 text/html（2405 字元）
2026-08-23 22:18:28 [INFO]   近三日營業額-台北 → 選中 17:25:03（與17:25差3s）
2026-08-23 22:18:28 [INFO]   [debug] 行45 repr='2026-08-21：87分'
2026-08-23 22:18:28 [INFO]   [debug] 行46 repr='2026-08-22：8分'
2026-08-23 22:18:28 [INFO]   [debug] 行47 repr='2026-08-23：6分'
2026-08-23 22:18:28 [INFO]   [debug] 行48 repr='【家電清潔】日營業額'
2026-08-23 22:18:28 [INFO]   [debug] 行49 repr='2026-08-21：0分'
2026-08-23 22:18:28 [INFO]   [debug] 行50 repr='2026-08-22：0分'
2026-08-23 22:18:28 [INFO]   [debug] 行51 repr='2026-08-23：0分'
2026-08-23 22:18:28 [INFO]   [debug] 行52 repr='【儲值金】日營業額'
2026-08-23 22:18:35 [INFO]   [mail] text/plain 為空，fallback 到 text/html（874 字元）
2026-08-23 22:18:36 [INFO]   近三日營業額-台中 → 選中 17:25:06（與17:25差6s）
2026-08-23 22:18:36 [INFO]   [debug] 行21 repr='2026-08-21：0分'
2026-08-23 22:18:36 [INFO]   [debug] 行22 repr='2026-08-22：0分'
2026-08-23 22:18:36 [INFO]   [debug] 行23 repr='2026-08-23：0分'
2026-08-23 22:18:36 [INFO]   [debug] 行24 repr='【家電清潔】日營業額'
2026-08-23 22:18:36 [INFO]   [debug] 行25 repr='2026-08-21：0分'
2026-08-23 22:18:36 [INFO]   [debug] 行26 repr='2026-08-22：0分'
2026-08-23 22:18:36 [INFO]   [debug] 行27 repr='2026-08-23：0分'
2026-08-23 22:18:36 [INFO]   [debug] 行28 repr='【儲值金】日營業額'
2026-08-23 22:18:36 [INFO]   台北：{'daily_value': 6, 'total_count': 1197, 'total_amount': 2393900}
2026-08-23 22:18:36 [INFO]   台中：{'daily_value': 0, 'total_count': 95, 'total_amount': 189000}
2026-08-23 22:18:37 [INFO] Step 3 完成，row=2381（21.7s）
2026-08-23 22:18:38 [INFO] === 全部完成 run_id=b7c29275（22.4s）===
