2026-08-24 22:22:09 [INFO] === 客服排程系統 run_id=a71e82fd step=3 台北時間=2026-08-25 06:22:09 ===
2026-08-24 22:22:09 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-08-24 22:22:09 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-08-24 22:22:23 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-08-24 22:22:52 [INFO]   [mail] text/plain 為空，fallback 到 text/html（2680 字元）
2026-08-24 22:23:00 [INFO]   近三日營業額-台北 → 選中 17:25:03（與17:25差3s）
2026-08-24 22:23:00 [INFO]   [debug] 行49 repr='2026-08-22：8分'
2026-08-24 22:23:00 [INFO]   [debug] 行50 repr='2026-08-23：11分'
2026-08-24 22:23:00 [INFO]   [debug] 行51 repr='2026-08-24：81分'
2026-08-24 22:23:00 [INFO]   [debug] 行52 repr='【家電清潔】日營業額'
2026-08-24 22:23:00 [INFO]   [debug] 行53 repr='2026-08-22：0分'
2026-08-24 22:23:00 [INFO]   [debug] 行54 repr='2026-08-23：0分'
2026-08-24 22:23:00 [INFO]   [debug] 行55 repr='2026-08-24：0分'
2026-08-24 22:23:00 [INFO]   [debug] 行56 repr='【儲值金】日營業額'
2026-08-24 22:23:14 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1071 字元）
2026-08-24 22:23:17 [INFO]   近三日營業額-台中 → 選中 17:25:06（與17:25差6s）
2026-08-24 22:23:17 [INFO]   [debug] 行24 repr='2026-08-22：0分'
2026-08-24 22:23:17 [INFO]   [debug] 行25 repr='2026-08-23：2分'
2026-08-24 22:23:17 [INFO]   [debug] 行26 repr='2026-08-24：5分'
2026-08-24 22:23:17 [INFO]   [debug] 行27 repr='【家電清潔】日營業額'
2026-08-24 22:23:17 [INFO]   [debug] 行28 repr='2026-08-22：0分'
2026-08-24 22:23:17 [INFO]   [debug] 行29 repr='2026-08-23：0分'
2026-08-24 22:23:17 [INFO]   [debug] 行30 repr='2026-08-24：0分'
2026-08-24 22:23:17 [INFO]   [debug] 行31 repr='【儲值金】日營業額'
2026-08-24 22:23:17 [INFO]   台北：{'daily_value': 81, 'total_count': 1283, 'total_amount': 2565600}
2026-08-24 22:23:17 [INFO]   台中：{'daily_value': 5, 'total_count': 102, 'total_amount': 203400}
2026-08-24 22:23:18 [INFO] Step 3 完成，row=2382（54.4s）
2026-08-24 22:23:20 [INFO] === 全部完成 run_id=a71e82fd（55.6s）===
