2026-08-29 23:52:13 [INFO] === 客服排程系統 run_id=811c20a8 step=3 台北時間=2026-08-30 07:52:13 ===
2026-08-29 23:52:13 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-08-29 23:52:13 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-08-29 23:52:26 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-08-29 23:52:40 [INFO]   [mail] text/plain 為空，fallback 到 text/html（3041 字元）
2026-08-29 23:52:43 [INFO]   近三日營業額-台北 → 選中 17:25:03（與17:25差3s）
2026-08-29 23:52:43 [INFO]   [debug] 行55 repr='2026-08-27：29分'
2026-08-29 23:52:43 [INFO]   [debug] 行56 repr='2026-08-28：45分'
2026-08-29 23:52:43 [INFO]   [debug] 行57 repr='2026-08-29：13分'
2026-08-29 23:52:43 [INFO]   [debug] 行58 repr='【家電清潔】日營業額'
2026-08-29 23:52:43 [INFO]   [debug] 行59 repr='2026-08-27：0分'
2026-08-29 23:52:43 [INFO]   [debug] 行60 repr='2026-08-28：0分'
2026-08-29 23:52:43 [INFO]   [debug] 行61 repr='2026-08-29：0分'
2026-08-29 23:52:43 [INFO]   [debug] 行62 repr='【儲值金】日營業額'
2026-08-29 23:52:52 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1136 字元）
2026-08-29 23:52:53 [INFO]   近三日營業額-台中 → 選中 17:25:06（與17:25差6s）
2026-08-29 23:52:53 [INFO]   [debug] 行25 repr='2026-08-27：0分'
2026-08-29 23:52:53 [INFO]   [debug] 行26 repr='2026-08-28：11分'
2026-08-29 23:52:53 [INFO]   [debug] 行27 repr='2026-08-29：0分'
2026-08-29 23:52:53 [INFO]   [debug] 行28 repr='【家電清潔】日營業額'
2026-08-29 23:52:53 [INFO]   [debug] 行29 repr='2026-08-27：0分'
2026-08-29 23:52:53 [INFO]   [debug] 行30 repr='2026-08-28：0分'
2026-08-29 23:52:53 [INFO]   [debug] 行31 repr='2026-08-29：0分'
2026-08-29 23:52:53 [INFO]   [debug] 行32 repr='【儲值金】日營業額'
2026-08-29 23:52:53 [INFO]   台北：{'daily_value': 13, 'total_count': 1511, 'total_amount': 3021760}
2026-08-29 23:52:53 [INFO]   台中：{'daily_value': 0, 'total_count': 119, 'total_amount': 237600}
2026-08-29 23:52:55 [INFO] Step 3 完成，row=2387（28.1s）
2026-08-29 23:52:55 [INFO] === 全部完成 run_id=811c20a8（29.0s）===
