2026-08-31 00:11:33 [INFO] === 客服排程系統 run_id=5bfebce1 step=3 台北時間=2026-08-31 08:11:33 ===
2026-08-31 00:11:33 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-08-31 00:11:33 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-08-31 00:11:48 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-08-31 00:11:57 [INFO]   [mail] text/plain 為空，fallback 到 text/html（2725 字元）
2026-08-31 00:12:02 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-08-31 00:12:02 [INFO]   [debug] 行50 repr='2026-08-28：45分'
2026-08-31 00:12:02 [INFO]   [debug] 行51 repr='2026-08-29：19分'
2026-08-31 00:12:02 [INFO]   [debug] 行52 repr='2026-08-30：5分'
2026-08-31 00:12:02 [INFO]   [debug] 行53 repr='【家電清潔】日營業額'
2026-08-31 00:12:02 [INFO]   [debug] 行54 repr='2026-08-28：0分'
2026-08-31 00:12:02 [INFO]   [debug] 行55 repr='2026-08-29：0分'
2026-08-31 00:12:02 [INFO]   [debug] 行56 repr='2026-08-30：0分'
2026-08-31 00:12:02 [INFO]   [debug] 行57 repr='【儲值金】日營業額'
2026-08-31 00:12:08 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1136 字元）
2026-08-31 00:12:10 [INFO]   近三日營業額-台中 → 選中 17:25:07（與17:25差7s）
2026-08-31 00:12:10 [INFO]   [debug] 行25 repr='2026-08-28：11分'
2026-08-31 00:12:10 [INFO]   [debug] 行26 repr='2026-08-29：0分'
2026-08-31 00:12:10 [INFO]   [debug] 行27 repr='2026-08-30：0分'
2026-08-31 00:12:10 [INFO]   [debug] 行28 repr='【家電清潔】日營業額'
2026-08-31 00:12:10 [INFO]   [debug] 行29 repr='2026-08-28：0分'
2026-08-31 00:12:10 [INFO]   [debug] 行30 repr='2026-08-29：0分'
2026-08-31 00:12:10 [INFO]   [debug] 行31 repr='2026-08-30：0分'
2026-08-31 00:12:10 [INFO]   [debug] 行32 repr='【儲值金】日營業額'
2026-08-31 00:12:10 [INFO]   台北：{'daily_value': 5, 'total_count': 1521, 'total_amount': 3042160}
2026-08-31 00:12:10 [INFO]   台中：{'daily_value': 0, 'total_count': 119, 'total_amount': 237600}
2026-08-31 00:12:11 [INFO] Step 3 完成，row=2388（22.5s）
2026-08-31 00:12:12 [INFO] === 全部完成 run_id=5bfebce1（23.3s）===
