2026-09-01 00:58:36 [INFO] === 客服排程系統 run_id=3309f78e step=3 台北時間=2026-09-01 08:58:36 ===
2026-09-01 00:58:36 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-01 00:58:36 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-01 00:58:53 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-01 00:59:17 [INFO]   [mail] text/plain 為空，fallback 到 text/html（2655 字元）
2026-09-01 00:59:20 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-09-01 00:59:20 [INFO]   [debug] 行49 repr='2026-08-29：19分'
2026-09-01 00:59:20 [INFO]   [debug] 行50 repr='2026-08-30：13分'
2026-09-01 00:59:20 [INFO]   [debug] 行51 repr='2026-08-31：32分'
2026-09-01 00:59:20 [INFO]   [debug] 行52 repr='【家電清潔】日營業額'
2026-09-01 00:59:20 [INFO]   [debug] 行53 repr='2026-08-29：0分'
2026-09-01 00:59:20 [INFO]   [debug] 行54 repr='2026-08-30：0分'
2026-09-01 00:59:20 [INFO]   [debug] 行55 repr='2026-08-31：0分'
2026-09-01 00:59:20 [INFO]   [debug] 行56 repr='【儲值金】日營業額'
2026-09-01 00:59:41 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1012 字元）
2026-09-01 00:59:43 [INFO]   近三日營業額-台中 → 選中 17:25:07（與17:25差7s）
2026-09-01 00:59:43 [INFO]   [debug] 行23 repr='2026-08-29：0分'
2026-09-01 00:59:43 [INFO]   [debug] 行24 repr='2026-08-30：2分'
2026-09-01 00:59:43 [INFO]   [debug] 行25 repr='2026-08-31：1分'
2026-09-01 00:59:43 [INFO]   [debug] 行26 repr='【家電清潔】日營業額'
2026-09-01 00:59:43 [INFO]   [debug] 行27 repr='2026-08-29：0分'
2026-09-01 00:59:43 [INFO]   [debug] 行28 repr='2026-08-30：0分'
2026-09-01 00:59:43 [INFO]   [debug] 行29 repr='2026-08-31：0分'
2026-09-01 00:59:43 [INFO]   [debug] 行30 repr='【儲值金】日營業額'
2026-09-01 00:59:43 [INFO]   台北：{'daily_value': 32, 'total_count': 1561, 'total_amount': 3121760}
2026-09-01 00:59:43 [INFO]   台中：{'daily_value': 1, 'total_count': 122, 'total_amount': 243600}
2026-09-01 00:59:45 [INFO] Step 3 完成，row=2389（50.7s）
2026-09-01 00:59:46 [INFO] === 全部完成 run_id=3309f78e（52.0s）===
