2026-09-01 23:38:22 [INFO] === 客服排程系統 run_id=3b4301dc step=3 台北時間=2026-09-02 07:38:22 ===
2026-09-01 23:38:22 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-01 23:38:22 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-01 23:38:38 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-01 23:38:57 [INFO]   [mail] text/plain 為空，fallback 到 text/html（3070 字元）
2026-09-01 23:39:01 [INFO]   近三日營業額-台北 → 選中 17:25:03（與17:25差3s）
2026-09-01 23:39:01 [INFO]   [debug] 行56 repr='2026-08-30：13分'
2026-09-01 23:39:01 [INFO]   [debug] 行57 repr='2026-08-31：43分'
2026-09-01 23:39:01 [INFO]   [debug] 行58 repr='2026-09-01：29分'
2026-09-01 23:39:01 [INFO]   [debug] 行59 repr='【家電清潔】日營業額'
2026-09-01 23:39:01 [INFO]   [debug] 行60 repr='2026-08-30：0分'
2026-09-01 23:39:01 [INFO]   [debug] 行61 repr='2026-08-31：0分'
2026-09-01 23:39:01 [INFO]   [debug] 行62 repr='2026-09-01：0分'
2026-09-01 23:39:01 [INFO]   [debug] 行63 repr='【儲值金】日營業額'
2026-09-01 23:39:12 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1128 字元）
2026-09-01 23:39:13 [INFO]   近三日營業額-台中 → 選中 17:25:06（與17:25差6s）
2026-09-01 23:39:13 [INFO]   [debug] 行25 repr='2026-08-30：2分'
2026-09-01 23:39:13 [INFO]   [debug] 行26 repr='2026-08-31：1分'
2026-09-01 23:39:13 [INFO]   [debug] 行27 repr='2026-09-01：12分'
2026-09-01 23:39:13 [INFO]   [debug] 行28 repr='【家電清潔】日營業額'
2026-09-01 23:39:13 [INFO]   [debug] 行29 repr='2026-08-30：0分'
2026-09-01 23:39:13 [INFO]   [debug] 行30 repr='2026-08-31：0分'
2026-09-01 23:39:13 [INFO]   [debug] 行31 repr='2026-09-01：0分'
2026-09-01 23:39:13 [INFO]   [debug] 行32 repr='【儲值金】日營業額'
2026-09-01 23:39:13 [INFO]   台北：{'daily_value': 29, 'total_count': 29, 'total_amount': 58400}
2026-09-01 23:39:13 [INFO]   台中：{'daily_value': 12, 'total_count': 12, 'total_amount': 24800}
2026-09-01 23:39:15 [INFO] Step 3 完成，row=2390（36.0s）
2026-09-01 23:39:16 [INFO] === 全部完成 run_id=3b4301dc（37.0s）===
