2026-09-03 23:46:31 [INFO] === 客服排程系統 run_id=833e86cd step=3 台北時間=2026-09-04 07:46:31 ===
2026-09-03 23:46:31 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-03 23:46:31 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-03 23:46:43 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-03 23:46:59 [INFO]   [mail] text/plain 為空，fallback 到 text/html（3878 字元）
2026-09-03 23:47:02 [INFO]   近三日營業額-台北 → 選中 17:25:03（與17:25差3s）
2026-09-03 23:47:02 [INFO]   [debug] 行69 repr='2026-09-01：33分'
2026-09-03 23:47:02 [INFO]   [debug] 行70 repr='2026-09-02：157分'
2026-09-03 23:47:02 [INFO]   [debug] 行71 repr='2026-09-03：73分'
2026-09-03 23:47:02 [INFO]   [debug] 行72 repr='【家電清潔】日營業額'
2026-09-03 23:47:02 [INFO]   [debug] 行73 repr='2026-09-01：0分'
2026-09-03 23:47:02 [INFO]   [debug] 行74 repr='2026-09-02：0分'
2026-09-03 23:47:02 [INFO]   [debug] 行75 repr='2026-09-03：0分'
2026-09-03 23:47:02 [INFO]   [debug] 行76 repr='【儲值金】日營業額'
2026-09-03 23:47:12 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1062 字元）
2026-09-03 23:47:13 [INFO]   近三日營業額-台中 → 選中 17:25:06（與17:25差6s）
2026-09-03 23:47:13 [INFO]   [debug] 行24 repr='2026-09-01：12分'
2026-09-03 23:47:13 [INFO]   [debug] 行25 repr='2026-09-02：1分'
2026-09-03 23:47:13 [INFO]   [debug] 行26 repr='2026-09-03：0分'
2026-09-03 23:47:13 [INFO]   [debug] 行27 repr='【家電清潔】日營業額'
2026-09-03 23:47:13 [INFO]   [debug] 行28 repr='2026-09-01：0分'
2026-09-03 23:47:13 [INFO]   [debug] 行29 repr='2026-09-02：0分'
2026-09-03 23:47:13 [INFO]   [debug] 行30 repr='2026-09-03：0分'
2026-09-03 23:47:13 [INFO]   [debug] 行31 repr='【儲值金】日營業額'
2026-09-03 23:47:13 [INFO]   台北：{'daily_value': 73, 'total_count': 262, 'total_amount': 523900}
2026-09-03 23:47:13 [INFO]   台中：{'daily_value': 0, 'total_count': 14, 'total_amount': 27200}
2026-09-03 23:47:15 [INFO] Step 3 完成，row=2392（30.8s）
2026-09-03 23:47:15 [INFO] === 全部完成 run_id=833e86cd（31.6s）===
