2026-09-04 23:41:13 [INFO] === 客服排程系統 run_id=b9e1319c step=3 台北時間=2026-09-05 07:41:13 ===
2026-09-04 23:41:13 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-04 23:41:13 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-04 23:41:28 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-04 23:41:44 [INFO]   [mail] text/plain 為空，fallback 到 text/html（3629 字元）
2026-09-04 23:41:54 [INFO]   近三日營業額-台北 → 選中 17:25:03（與17:25差3s）
2026-09-04 23:41:54 [INFO]   [debug] 行65 repr='2026-09-02：157分'
2026-09-04 23:41:54 [INFO]   [debug] 行66 repr='2026-09-03：101分'
2026-09-04 23:41:54 [INFO]   [debug] 行67 repr='2026-09-04：67分'
2026-09-04 23:41:54 [INFO]   [debug] 行68 repr='【家電清潔】日營業額'
2026-09-04 23:41:54 [INFO]   [debug] 行69 repr='2026-09-02：0分'
2026-09-04 23:41:54 [INFO]   [debug] 行70 repr='2026-09-03：0分'
2026-09-04 23:41:54 [INFO]   [debug] 行71 repr='2026-09-04：0分'
2026-09-04 23:41:54 [INFO]   [debug] 行72 repr='【儲值金】日營業額'
2026-09-04 23:42:05 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1000 字元）
2026-09-04 23:42:09 [INFO]   近三日營業額-台中 → 選中 17:25:06（與17:25差6s）
2026-09-04 23:42:09 [INFO]   [debug] 行23 repr='2026-09-02：1分'
2026-09-04 23:42:09 [INFO]   [debug] 行24 repr='2026-09-03：0分'
2026-09-04 23:42:09 [INFO]   [debug] 行25 repr='2026-09-04：25分'
2026-09-04 23:42:09 [INFO]   [debug] 行26 repr='【家電清潔】日營業額'
2026-09-04 23:42:09 [INFO]   [debug] 行27 repr='2026-09-02：0分'
2026-09-04 23:42:09 [INFO]   [debug] 行28 repr='2026-09-03：0分'
2026-09-04 23:42:09 [INFO]   [debug] 行29 repr='2026-09-04：0分'
2026-09-04 23:42:09 [INFO]   [debug] 行30 repr='【儲值金】日營業額'
2026-09-04 23:42:09 [INFO]   台北：{'daily_value': 67, 'total_count': 357, 'total_amount': 714500}
2026-09-04 23:42:09 [INFO]   台中：{'daily_value': 25, 'total_count': 39, 'total_amount': 77200}
2026-09-04 23:42:10 [INFO] Step 3 完成，row=2393（41.7s）
2026-09-04 23:42:11 [INFO] === 全部完成 run_id=b9e1319c（42.5s）===
