2026-09-05 23:31:43 [INFO] === 客服排程系統 run_id=214ea436 step=3 台北時間=2026-09-06 07:31:43 ===
2026-09-05 23:31:43 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-05 23:31:43 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-05 23:31:54 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-05 23:32:08 [INFO]   [mail] text/plain 為空，fallback 到 text/html（2828 字元）
2026-09-05 23:32:12 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-09-05 23:32:12 [INFO]   [debug] 行52 repr='2026-09-03：101分'
2026-09-05 23:32:12 [INFO]   [debug] 行53 repr='2026-09-04：72分'
2026-09-05 23:32:12 [INFO]   [debug] 行54 repr='2026-09-05：16分'
2026-09-05 23:32:12 [INFO]   [debug] 行55 repr='【家電清潔】日營業額'
2026-09-05 23:32:12 [INFO]   [debug] 行56 repr='2026-09-03：0分'
2026-09-05 23:32:12 [INFO]   [debug] 行57 repr='2026-09-04：0分'
2026-09-05 23:32:12 [INFO]   [debug] 行58 repr='2026-09-05：0分'
2026-09-05 23:32:12 [INFO]   [debug] 行59 repr='【儲值金】日營業額'
2026-09-05 23:32:21 [INFO]   [mail] text/plain 為空，fallback 到 text/html（934 字元）
2026-09-05 23:32:23 [INFO]   近三日營業額-台中 → 選中 17:25:07（與17:25差7s）
2026-09-05 23:32:23 [INFO]   [debug] 行22 repr='2026-09-03：0分'
2026-09-05 23:32:23 [INFO]   [debug] 行23 repr='2026-09-04：25分'
2026-09-05 23:32:23 [INFO]   [debug] 行24 repr='2026-09-05：0分'
2026-09-05 23:32:23 [INFO]   [debug] 行25 repr='【家電清潔】日營業額'
2026-09-05 23:32:23 [INFO]   [debug] 行26 repr='2026-09-03：0分'
2026-09-05 23:32:23 [INFO]   [debug] 行27 repr='2026-09-04：0分'
2026-09-05 23:32:23 [INFO]   [debug] 行28 repr='2026-09-05：0分'
2026-09-05 23:32:23 [INFO]   [debug] 行29 repr='【儲值金】日營業額'
2026-09-05 23:32:23 [INFO]   台北：{'daily_value': 16, 'total_count': 379, 'total_amount': 757700}
2026-09-05 23:32:23 [INFO]   台中：{'daily_value': 0, 'total_count': 39, 'total_amount': 77200}
2026-09-05 23:32:24 [INFO] Step 3 完成，row=2394（29.4s）
2026-09-05 23:32:25 [INFO] === 全部完成 run_id=214ea436（30.3s）===
