2026-09-06 23:27:47 [INFO] === 客服排程系統 run_id=39c778f2 step=3 台北時間=2026-09-07 07:27:47 ===
2026-09-06 23:27:47 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-06 23:27:47 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-06 23:28:03 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-06 23:28:13 [INFO]   [mail] text/plain 為空，fallback 到 text/html（2085 字元）
2026-09-06 23:28:17 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-09-06 23:28:17 [INFO]   [debug] 行40 repr='2026-09-04：72分'
2026-09-06 23:28:17 [INFO]   [debug] 行41 repr='2026-09-05：16分'
2026-09-06 23:28:17 [INFO]   [debug] 行42 repr='2026-09-06：4分'
2026-09-06 23:28:17 [INFO]   [debug] 行43 repr='【家電清潔】日營業額'
2026-09-06 23:28:17 [INFO]   [debug] 行44 repr='2026-09-04：0分'
2026-09-06 23:28:17 [INFO]   [debug] 行45 repr='2026-09-05：0分'
2026-09-06 23:28:17 [INFO]   [debug] 行46 repr='2026-09-06：0分'
2026-09-06 23:28:17 [INFO]   [debug] 行47 repr='【儲值金】日營業額'
2026-09-06 23:28:28 [INFO]   [mail] text/plain 為空，fallback 到 text/html（934 字元）
2026-09-06 23:28:30 [INFO]   近三日營業額-台中 → 選中 17:25:07（與17:25差7s）
2026-09-06 23:28:30 [INFO]   [debug] 行22 repr='2026-09-04：25分'
2026-09-06 23:28:30 [INFO]   [debug] 行23 repr='2026-09-05：0分'
2026-09-06 23:28:30 [INFO]   [debug] 行24 repr='2026-09-06：0分'
2026-09-06 23:28:30 [INFO]   [debug] 行25 repr='【家電清潔】日營業額'
2026-09-06 23:28:30 [INFO]   [debug] 行26 repr='2026-09-04：0分'
2026-09-06 23:28:30 [INFO]   [debug] 行27 repr='2026-09-05：0分'
2026-09-06 23:28:30 [INFO]   [debug] 行28 repr='2026-09-06：0分'
2026-09-06 23:28:30 [INFO]   [debug] 行29 repr='【儲值金】日營業額'
2026-09-06 23:28:30 [INFO]   台北：{'daily_value': 4, 'total_count': 383, 'total_amount': 766100}
2026-09-06 23:28:30 [INFO]   台中：{'daily_value': 0, 'total_count': 39, 'total_amount': 77200}
2026-09-06 23:28:32 [INFO] Step 3 完成，row=2395（27.5s）
2026-09-06 23:28:33 [INFO] === 全部完成 run_id=39c778f2（28.4s）===
