2026-09-07 23:57:27 [INFO] === 客服排程系統 run_id=a01bdd70 step=3 台北時間=2026-09-08 07:57:27 ===
2026-09-07 23:57:27 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-07 23:57:27 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-07 23:57:38 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-07 23:57:54 [INFO]   [mail] text/plain 為空，fallback 到 text/html（2410 字元）
2026-09-07 23:57:59 [INFO]   近三日營業額-台北 → 選中 17:25:03（與17:25差3s）
2026-09-07 23:57:59 [INFO]   [debug] 行45 repr='2026-09-05：16分'
2026-09-07 23:57:59 [INFO]   [debug] 行46 repr='2026-09-06：11分'
2026-09-07 23:57:59 [INFO]   [debug] 行47 repr='2026-09-07：26分'
2026-09-07 23:57:59 [INFO]   [debug] 行48 repr='【家電清潔】日營業額'
2026-09-07 23:57:59 [INFO]   [debug] 行49 repr='2026-09-05：0分'
2026-09-07 23:57:59 [INFO]   [debug] 行50 repr='2026-09-06：0分'
2026-09-07 23:57:59 [INFO]   [debug] 行51 repr='2026-09-07：0分'
2026-09-07 23:57:59 [INFO]   [debug] 行52 repr='【儲值金】日營業額'
2026-09-07 23:58:08 [INFO]   [mail] text/plain 為空，fallback 到 text/html（867 字元）
2026-09-07 23:58:10 [INFO]   近三日營業額-台中 → 選中 17:25:06（與17:25差6s）
2026-09-07 23:58:10 [INFO]   [debug] 行21 repr='2026-09-05：0分'
2026-09-07 23:58:10 [INFO]   [debug] 行22 repr='2026-09-06：0分'
2026-09-07 23:58:10 [INFO]   [debug] 行23 repr='2026-09-07：0分'
2026-09-07 23:58:10 [INFO]   [debug] 行24 repr='【家電清潔】日營業額'
2026-09-07 23:58:10 [INFO]   [debug] 行25 repr='2026-09-05：0分'
2026-09-07 23:58:10 [INFO]   [debug] 行26 repr='2026-09-06：0分'
2026-09-07 23:58:10 [INFO]   [debug] 行27 repr='2026-09-07：0分'
2026-09-07 23:58:10 [INFO]   [debug] 行28 repr='【儲值金】日營業額'
2026-09-07 23:58:10 [INFO]   台北：{'daily_value': 26, 'total_count': 416, 'total_amount': 831300}
2026-09-07 23:58:10 [INFO]   台中：{'daily_value': 0, 'total_count': 39, 'total_amount': 77200}
2026-09-07 23:58:12 [INFO] Step 3 完成，row=2396（33.0s）
2026-09-07 23:58:13 [INFO] === 全部完成 run_id=a01bdd70（34.4s）===
