2026-09-12 23:42:08 [INFO] === 客服排程系統 run_id=e775dd6e step=3 台北時間=2026-09-13 07:42:08 ===
2026-09-12 23:42:08 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-12 23:42:08 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-12 23:42:24 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-12 23:42:41 [INFO]   [mail] text/plain 為空，fallback 到 text/html（3350 字元）
2026-09-12 23:42:44 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-09-12 23:42:44 [INFO]   [debug] 行60 repr='2026-09-10：29分'
2026-09-12 23:42:44 [INFO]   [debug] 行61 repr='2026-09-11：40分'
2026-09-12 23:42:44 [INFO]   [debug] 行62 repr='2026-09-12：16分'
2026-09-12 23:42:44 [INFO]   [debug] 行63 repr='【家電清潔】日營業額'
2026-09-12 23:42:44 [INFO]   [debug] 行64 repr='2026-09-10：0分'
2026-09-12 23:42:44 [INFO]   [debug] 行65 repr='2026-09-11：0分'
2026-09-12 23:42:44 [INFO]   [debug] 行66 repr='2026-09-12：0分'
2026-09-12 23:42:44 [INFO]   [debug] 行67 repr='【儲值金】日營業額'
2026-09-12 23:42:55 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1204 字元）
2026-09-12 23:42:56 [INFO]   近三日營業額-台中 → 選中 17:25:07（與17:25差7s）
2026-09-12 23:42:56 [INFO]   [debug] 行26 repr='2026-09-10：31分'
2026-09-12 23:42:56 [INFO]   [debug] 行27 repr='2026-09-11：2分'
2026-09-12 23:42:56 [INFO]   [debug] 行28 repr='2026-09-12：0分'
2026-09-12 23:42:56 [INFO]   [debug] 行29 repr='【家電清潔】日營業額'
2026-09-12 23:42:56 [INFO]   [debug] 行30 repr='2026-09-10：0分'
2026-09-12 23:42:56 [INFO]   [debug] 行31 repr='2026-09-11：0分'
2026-09-12 23:42:56 [INFO]   [debug] 行32 repr='2026-09-12：0分'
2026-09-12 23:42:56 [INFO]   [debug] 行33 repr='【儲值金】日營業額'
2026-09-12 23:42:56 [INFO]   台北：{'daily_value': 16, 'total_count': 659, 'total_amount': 1318200}
2026-09-12 23:42:56 [INFO]   台中：{'daily_value': 0, 'total_count': 90, 'total_amount': 179600}
2026-09-12 23:42:57 [INFO] Step 3 完成，row=2401（32.0s）
2026-09-12 23:42:58 [INFO] === 全部完成 run_id=e775dd6e（32.9s）===
