2026-09-13 23:52:48 [INFO] === 客服排程系統 run_id=310b9da6 step=3 台北時間=2026-09-14 07:52:48 ===
2026-09-13 23:52:48 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-13 23:52:48 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-13 23:52:59 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-13 23:53:10 [INFO]   [mail] text/plain 為空，fallback 到 text/html（2530 字元）
2026-09-13 23:53:16 [INFO]   近三日營業額-台北 → 選中 17:25:03（與17:25差3s）
2026-09-13 23:53:16 [INFO]   [debug] 行47 repr='2026-09-11：40分'
2026-09-13 23:53:16 [INFO]   [debug] 行48 repr='2026-09-12：16分'
2026-09-13 23:53:16 [INFO]   [debug] 行49 repr='2026-09-13：4分'
2026-09-13 23:53:16 [INFO]   [debug] 行50 repr='【家電清潔】日營業額'
2026-09-13 23:53:16 [INFO]   [debug] 行51 repr='2026-09-11：0分'
2026-09-13 23:53:16 [INFO]   [debug] 行52 repr='2026-09-12：0分'
2026-09-13 23:53:16 [INFO]   [debug] 行53 repr='2026-09-13：0分'
2026-09-13 23:53:16 [INFO]   [debug] 行54 repr='【儲值金】日營業額'
2026-09-13 23:53:21 [INFO]   [mail] text/plain 為空，fallback 到 text/html（942 字元）
2026-09-13 23:53:23 [INFO]   近三日營業額-台中 → 選中 17:25:06（與17:25差6s）
2026-09-13 23:53:23 [INFO]   [debug] 行22 repr='2026-09-11：2分'
2026-09-13 23:53:23 [INFO]   [debug] 行23 repr='2026-09-12：0分'
2026-09-13 23:53:23 [INFO]   [debug] 行24 repr='2026-09-13：0分'
2026-09-13 23:53:23 [INFO]   [debug] 行25 repr='【家電清潔】日營業額'
2026-09-13 23:53:23 [INFO]   [debug] 行26 repr='2026-09-11：0分'
2026-09-13 23:53:23 [INFO]   [debug] 行27 repr='2026-09-12：0分'
2026-09-13 23:53:23 [INFO]   [debug] 行28 repr='2026-09-13：0分'
2026-09-13 23:53:23 [INFO]   [debug] 行29 repr='【儲值金】日營業額'
2026-09-13 23:53:23 [INFO]   台北：{'daily_value': 4, 'total_count': 663, 'total_amount': 1326600}
2026-09-13 23:53:23 [INFO]   台中：{'daily_value': 0, 'total_count': 90, 'total_amount': 179600}
2026-09-13 23:53:24 [INFO] Step 3 完成，row=2402（23.7s）
2026-09-13 23:53:25 [INFO] === 全部完成 run_id=310b9da6（24.5s）===
