2026-09-15 23:57:12 [INFO] === 客服排程系統 run_id=a0ec3c5f step=3 台北時間=2026-09-16 07:57:12 ===
2026-09-15 23:57:12 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-15 23:57:12 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-15 23:57:26 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-15 23:57:26 [INFO] 信件日期（台北時間）：2026-09-15
2026-09-15 23:57:46 [INFO]   [mail] text/plain 為空，fallback 到 text/html（4242 字元）
2026-09-15 23:57:50 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-09-15 23:57:50 [INFO]   [debug] 行74 repr='2026-09-13：17分'
2026-09-15 23:57:50 [INFO]   [debug] 行75 repr='2026-09-14：30分'
2026-09-15 23:57:50 [INFO]   [debug] 行76 repr='2026-09-15：83分'
2026-09-15 23:57:50 [INFO]   [debug] 行77 repr='【家電清潔】日營業額'
2026-09-15 23:57:50 [INFO]   [debug] 行78 repr='2026-09-13：0分'
2026-09-15 23:57:50 [INFO]   [debug] 行79 repr='2026-09-14：0分'
2026-09-15 23:57:50 [INFO]   [debug] 行80 repr='2026-09-15：0分'
2026-09-15 23:57:50 [INFO]   [debug] 行81 repr='【儲值金】日營業額'
2026-09-15 23:58:04 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1017 字元）
2026-09-15 23:58:07 [INFO]   近三日營業額-台中 → 選中 17:25:07（與17:25差7s）
2026-09-15 23:58:07 [INFO]   [debug] 行23 repr='2026-09-13：4分'
2026-09-15 23:58:07 [INFO]   [debug] 行24 repr='2026-09-14：0分'
2026-09-15 23:58:07 [INFO]   [debug] 行25 repr='2026-09-15：2分'
2026-09-15 23:58:07 [INFO]   [debug] 行26 repr='【家電清潔】日營業額'
2026-09-15 23:58:07 [INFO]   [debug] 行27 repr='2026-09-13：0分'
2026-09-15 23:58:07 [INFO]   [debug] 行28 repr='2026-09-14：0分'
2026-09-15 23:58:07 [INFO]   [debug] 行29 repr='2026-09-15：0分'
2026-09-15 23:58:07 [INFO]   [debug] 行30 repr='【儲值金】日營業額'
2026-09-15 23:58:07 [INFO]   台北：{'daily_value': 83, 'total_count': 790, 'total_amount': 1580200}
2026-09-15 23:58:07 [INFO]   台中：{'daily_value': 2, 'total_count': 96, 'total_amount': 191600}
2026-09-15 23:58:08 [INFO] Step 3 完成，row=2404（41.3s）
2026-09-15 23:58:09 [INFO] === 全部完成 run_id=a0ec3c5f（42.2s）===
