2026-09-17 23:53:48 [INFO] === 客服排程系統 run_id=3cc262d6 step=3 台北時間=2026-09-18 07:53:48 ===
2026-09-17 23:53:48 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-17 23:53:48 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-17 23:54:00 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-17 23:54:01 [INFO] 信件日期（台北時間）：2026-09-17
2026-09-17 23:54:18 [INFO]   [mail] text/plain 為空，fallback 到 text/html（6192 字元）
2026-09-17 23:54:21 [INFO]   近三日營業額-台北 → 選中 17:25:03（與17:25差3s）
2026-09-17 23:54:21 [INFO]   [debug] 行105 repr='2026-09-15：100分'
2026-09-17 23:54:21 [INFO]   [debug] 行106 repr='2026-09-16：54分'
2026-09-17 23:54:21 [INFO]   [debug] 行107 repr='2026-09-17：43分'
2026-09-17 23:54:21 [INFO]   [debug] 行108 repr='【家電清潔】日營業額'
2026-09-17 23:54:21 [INFO]   [debug] 行109 repr='2026-09-15：0分'
2026-09-17 23:54:21 [INFO]   [debug] 行110 repr='2026-09-16：0分'
2026-09-17 23:54:21 [INFO]   [debug] 行111 repr='2026-09-17：0分'
2026-09-17 23:54:21 [INFO]   [debug] 行112 repr='【儲值金】日營業額'
2026-09-17 23:54:33 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1143 字元）
2026-09-17 23:54:34 [INFO]   近三日營業額-台中 → 選中 17:25:06（與17:25差6s）
2026-09-17 23:54:34 [INFO]   [debug] 行25 repr='2026-09-15：29分'
2026-09-17 23:54:34 [INFO]   [debug] 行26 repr='2026-09-16：0分'
2026-09-17 23:54:34 [INFO]   [debug] 行27 repr='2026-09-17：2分'
2026-09-17 23:54:34 [INFO]   [debug] 行28 repr='【家電清潔】日營業額'
2026-09-17 23:54:34 [INFO]   [debug] 行29 repr='2026-09-15：0分'
2026-09-17 23:54:34 [INFO]   [debug] 行30 repr='2026-09-16：0分'
2026-09-17 23:54:34 [INFO]   [debug] 行31 repr='2026-09-17：0分'
2026-09-17 23:54:34 [INFO]   [debug] 行32 repr='【儲值金】日營業額'
2026-09-17 23:54:34 [INFO]   台北：{'daily_value': 43, 'total_count': 901, 'total_amount': 1801000}
2026-09-17 23:54:34 [INFO]   台中：{'daily_value': 2, 'total_count': 125, 'total_amount': 250000}
2026-09-17 23:54:36 [INFO] Step 3 完成，row=2406（34.9s）
2026-09-17 23:54:37 [INFO] === 全部完成 run_id=3cc262d6（36.1s）===
