2026-09-19 23:53:02 [INFO] === 客服排程系統 run_id=8f6eecfe step=3 台北時間=2026-09-20 07:53:02 ===
2026-09-19 23:53:02 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-19 23:53:02 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-19 23:53:18 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-19 23:53:19 [INFO] 信件日期（台北時間）：2026-09-19
2026-09-19 23:53:33 [INFO]   [mail] text/plain 為空，fallback 到 text/html（4616 字元）
2026-09-19 23:53:36 [INFO]   近三日營業額-台北 → 選中 17:25:03（與17:25差3s）
2026-09-19 23:53:36 [INFO]   [debug] 行80 repr='2026-09-17：50分'
2026-09-19 23:53:36 [INFO]   [debug] 行81 repr='2026-09-18：87分'
2026-09-19 23:53:36 [INFO]   [debug] 行82 repr='2026-09-19：40分'
2026-09-19 23:53:36 [INFO]   [debug] 行83 repr='【家電清潔】日營業額'
2026-09-19 23:53:36 [INFO]   [debug] 行84 repr='2026-09-17：0分'
2026-09-19 23:53:36 [INFO]   [debug] 行85 repr='2026-09-18：0分'
2026-09-19 23:53:36 [INFO]   [debug] 行86 repr='2026-09-19：0分'
2026-09-19 23:53:36 [INFO]   [debug] 行87 repr='【儲值金】日營業額'
2026-09-19 23:53:46 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1141 字元）
2026-09-19 23:53:48 [INFO]   近三日營業額-台中 → 選中 17:25:06（與17:25差6s）
2026-09-19 23:53:48 [INFO]   [debug] 行25 repr='2026-09-17：2分'
2026-09-19 23:53:48 [INFO]   [debug] 行26 repr='2026-09-18：9分'
2026-09-19 23:53:48 [INFO]   [debug] 行27 repr='2026-09-19：0分'
2026-09-19 23:53:48 [INFO]   [debug] 行28 repr='【家電清潔】日營業額'
2026-09-19 23:53:48 [INFO]   [debug] 行29 repr='2026-09-17：0分'
2026-09-19 23:53:48 [INFO]   [debug] 行30 repr='2026-09-18：0分'
2026-09-19 23:53:48 [INFO]   [debug] 行31 repr='2026-09-19：0分'
2026-09-19 23:53:48 [INFO]   [debug] 行32 repr='【儲值金】日營業額'
2026-09-19 23:53:48 [INFO]   台北：{'daily_value': 40, 'total_count': 1035, 'total_amount': 2069400}
2026-09-19 23:53:48 [INFO]   台中：{'daily_value': 0, 'total_count': 134, 'total_amount': 268000}
2026-09-19 23:53:49 [INFO] Step 3 完成，row=2408（30.2s）
2026-09-19 23:53:50 [INFO] === 全部完成 run_id=8f6eecfe（31.2s）===
