2026-09-20 23:49:46 [INFO] === 客服排程系統 run_id=e36dfc47 step=3 台北時間=2026-09-21 07:49:46 ===
2026-09-20 23:49:46 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-20 23:49:46 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-20 23:50:00 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-20 23:50:01 [INFO] 信件日期（台北時間）：2026-09-20
2026-09-20 23:50:10 [INFO]   [mail] text/plain 為空，fallback 到 text/html（3546 字元）
2026-09-20 23:50:15 [INFO]   近三日營業額-台北 → 選中 17:25:03（與17:25差3s）
2026-09-20 23:50:15 [INFO]   [debug] 行63 repr='2026-09-18：87分'
2026-09-20 23:50:15 [INFO]   [debug] 行64 repr='2026-09-19：42分'
2026-09-20 23:50:15 [INFO]   [debug] 行65 repr='2026-09-20：0分'
2026-09-20 23:50:15 [INFO]   [debug] 行66 repr='【家電清潔】日營業額'
2026-09-20 23:50:15 [INFO]   [debug] 行67 repr='2026-09-18：0分'
2026-09-20 23:50:15 [INFO]   [debug] 行68 repr='2026-09-19：0分'
2026-09-20 23:50:15 [INFO]   [debug] 行69 repr='2026-09-20：0分'
2026-09-20 23:50:15 [INFO]   [debug] 行70 repr='【儲值金】日營業額'
2026-09-20 23:50:20 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1144 字元）
2026-09-20 23:50:22 [INFO]   近三日營業額-台中 → 選中 17:25:06（與17:25差6s）
2026-09-20 23:50:22 [INFO]   [debug] 行25 repr='2026-09-18：9分'
2026-09-20 23:50:22 [INFO]   [debug] 行26 repr='2026-09-19：7分'
2026-09-20 23:50:22 [INFO]   [debug] 行27 repr='2026-09-20：0分'
2026-09-20 23:50:22 [INFO]   [debug] 行28 repr='【家電清潔】日營業額'
2026-09-20 23:50:22 [INFO]   [debug] 行29 repr='2026-09-18：0分'
2026-09-20 23:50:22 [INFO]   [debug] 行30 repr='2026-09-19：0分'
2026-09-20 23:50:22 [INFO]   [debug] 行31 repr='2026-09-20：0分'
2026-09-20 23:50:22 [INFO]   [debug] 行32 repr='【儲值金】日營業額'
2026-09-20 23:50:22 [INFO]   台北：{'daily_value': 0, 'total_count': 1037, 'total_amount': 2073600}
2026-09-20 23:50:22 [INFO]   台中：{'daily_value': 0, 'total_count': 141, 'total_amount': 282400}
2026-09-20 23:50:24 [INFO] Step 3 完成，row=2409（22.5s）
2026-09-20 23:50:24 [INFO] === 全部完成 run_id=e36dfc47（23.9s）===
