2026-09-22 23:59:26 [INFO] === 客服排程系統 run_id=c9b84b33 step=3 台北時間=2026-09-23 07:59:26 ===
2026-09-22 23:59:26 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-22 23:59:26 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-22 23:59:41 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-22 23:59:42 [INFO] 信件日期（台北時間）：2026-09-22
2026-09-22 23:59:55 [INFO]   [mail] text/plain 為空，fallback 到 text/html（3835 字元）
2026-09-23 00:00:00 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-09-23 00:00:00 [INFO]   [debug] 行68 repr='2026-09-20：7分'
2026-09-23 00:00:00 [INFO]   [debug] 行69 repr='2026-09-21：57分'
2026-09-23 00:00:00 [INFO]   [debug] 行70 repr='2026-09-22：46分'
2026-09-23 00:00:00 [INFO]   [debug] 行71 repr='【家電清潔】日營業額'
2026-09-23 00:00:00 [INFO]   [debug] 行72 repr='2026-09-20：0分'
2026-09-23 00:00:00 [INFO]   [debug] 行73 repr='2026-09-21：0分'
2026-09-23 00:00:00 [INFO]   [debug] 行74 repr='2026-09-22：0分'
2026-09-23 00:00:00 [INFO]   [debug] 行75 repr='【儲值金】日營業額'
2026-09-23 00:00:11 [INFO]   [mail] text/plain 為空，fallback 到 text/html（947 字元）
2026-09-23 00:00:14 [INFO]   近三日營業額-台中 → 選中 17:25:07（與17:25差7s）
2026-09-23 00:00:14 [INFO]   [debug] 行22 repr='2026-09-20：0分'
2026-09-23 00:00:14 [INFO]   [debug] 行23 repr='2026-09-21：0分'
2026-09-23 00:00:14 [INFO]   [debug] 行24 repr='2026-09-22：5分'
2026-09-23 00:00:14 [INFO]   [debug] 行25 repr='【家電清潔】日營業額'
2026-09-23 00:00:14 [INFO]   [debug] 行26 repr='2026-09-20：0分'
2026-09-23 00:00:14 [INFO]   [debug] 行27 repr='2026-09-21：0分'
2026-09-23 00:00:14 [INFO]   [debug] 行28 repr='2026-09-22：0分'
2026-09-23 00:00:14 [INFO]   [debug] 行29 repr='【儲值金】日營業額'
2026-09-23 00:00:14 [INFO]   台北：{'daily_value': 46, 'total_count': 1146, 'total_amount': 2291200}
2026-09-23 00:00:14 [INFO]   台中：{'daily_value': 5, 'total_count': 146, 'total_amount': 292000}
2026-09-23 00:00:15 [INFO] Step 3 完成，row=2411（33.1s）
2026-09-23 00:00:16 [INFO] === 全部完成 run_id=c9b84b33（33.9s）===
