2026-09-24 00:13:07 [INFO] === 客服排程系統 run_id=bd4c4572 step=3 台北時間=2026-09-24 08:13:07 ===
2026-09-24 00:13:07 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-24 00:13:07 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-24 00:13:18 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-24 00:13:18 [INFO] 信件日期（台北時間）：2026-09-23
2026-09-24 00:13:31 [INFO]   [mail] text/plain 為空，fallback 到 text/html（4962 字元）
2026-09-24 00:13:36 [INFO]   近三日營業額-台北 → 選中 17:25:04（與17:25差4s）
2026-09-24 00:13:36 [INFO]   [debug] 行86 repr='2026-09-21：57分'
2026-09-24 00:13:36 [INFO]   [debug] 行87 repr='2026-09-22：54分'
2026-09-24 00:13:36 [INFO]   [debug] 行88 repr='2026-09-23：34分'
2026-09-24 00:13:36 [INFO]   [debug] 行89 repr='【家電清潔】日營業額'
2026-09-24 00:13:36 [INFO]   [debug] 行90 repr='2026-09-21：0分'
2026-09-24 00:13:36 [INFO]   [debug] 行91 repr='2026-09-22：0分'
2026-09-24 00:13:36 [INFO]   [debug] 行92 repr='2026-09-23：0分'
2026-09-24 00:13:36 [INFO]   [debug] 行93 repr='【儲值金】日營業額'
2026-09-24 00:13:44 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1077 字元）
2026-09-24 00:13:46 [INFO]   近三日營業額-台中 → 選中 17:25:07（與17:25差7s）
2026-09-24 00:13:46 [INFO]   [debug] 行24 repr='2026-09-21：0分'
2026-09-24 00:13:46 [INFO]   [debug] 行25 repr='2026-09-22：7分'
2026-09-24 00:13:46 [INFO]   [debug] 行26 repr='2026-09-23：1分'
2026-09-24 00:13:46 [INFO]   [debug] 行27 repr='【家電清潔】日營業額'
2026-09-24 00:13:46 [INFO]   [debug] 行28 repr='2026-09-21：0分'
2026-09-24 00:13:46 [INFO]   [debug] 行29 repr='2026-09-22：0分'
2026-09-24 00:13:46 [INFO]   [debug] 行30 repr='2026-09-23：0分'
2026-09-24 00:13:46 [INFO]   [debug] 行31 repr='【儲值金】日營業額'
2026-09-24 00:13:46 [INFO]   台北：{'daily_value': 34, 'total_count': 1188, 'total_amount': 2375800}
2026-09-24 00:13:46 [INFO]   台中：{'daily_value': 1, 'total_count': 149, 'total_amount': 298000}
2026-09-24 00:13:47 [INFO] Step 3 完成，row=2412（28.9s）
2026-09-24 00:13:48 [INFO] === 全部完成 run_id=bd4c4572（29.6s）===
