2026-09-25 00:15:20 [INFO] === 客服排程系統 run_id=1749e9dd step=3 台北時間=2026-09-25 08:15:20 ===
2026-09-25 00:15:20 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-25 00:15:20 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-25 00:15:32 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-25 00:15:33 [INFO] 信件日期（台北時間）：2026-09-24
2026-09-25 00:15:49 [INFO]   [mail] text/plain 為空，fallback 到 text/html（4345 字元）
2026-09-25 00:15:54 [INFO]   近三日營業額-台北 → 選中 17:25:03（與17:25差3s）
2026-09-25 00:15:54 [INFO]   [debug] 行76 repr='2026-09-22：54分'
2026-09-25 00:15:54 [INFO]   [debug] 行77 repr='2026-09-23：39分'
2026-09-25 00:15:54 [INFO]   [debug] 行78 repr='2026-09-24：27分'
2026-09-25 00:15:54 [INFO]   [debug] 行79 repr='【家電清潔】日營業額'
2026-09-25 00:15:54 [INFO]   [debug] 行80 repr='2026-09-22：0分'
2026-09-25 00:15:54 [INFO]   [debug] 行81 repr='2026-09-23：0分'
2026-09-25 00:15:54 [INFO]   [debug] 行82 repr='2026-09-24：0分'
2026-09-25 00:15:54 [INFO]   [debug] 行83 repr='【儲值金】日營業額'
2026-09-25 00:16:06 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1274 字元）
2026-09-25 00:16:09 [INFO]   近三日營業額-台中 → 選中 17:25:06（與17:25差6s）
2026-09-25 00:16:09 [INFO]   [debug] 行27 repr='2026-09-22：7分'
2026-09-25 00:16:09 [INFO]   [debug] 行28 repr='2026-09-23：1分'
2026-09-25 00:16:09 [INFO]   [debug] 行29 repr='2026-09-24：3分'
2026-09-25 00:16:09 [INFO]   [debug] 行30 repr='【家電清潔】日營業額'
2026-09-25 00:16:09 [INFO]   [debug] 行31 repr='2026-09-22：0分'
2026-09-25 00:16:09 [INFO]   [debug] 行32 repr='2026-09-23：0分'
2026-09-25 00:16:09 [INFO]   [debug] 行33 repr='2026-09-24：0分'
2026-09-25 00:16:09 [INFO]   [debug] 行34 repr='【儲值金】日營業額'
2026-09-25 00:16:09 [INFO]   台北：{'daily_value': 27, 'total_count': 1221, 'total_amount': 2441000}
2026-09-25 00:16:09 [INFO]   台中：{'daily_value': 3, 'total_count': 152, 'total_amount': 303400}
2026-09-25 00:16:10 [INFO] Step 3 完成，row=2413（36.8s）
2026-09-25 00:16:11 [INFO] === 全部完成 run_id=1749e9dd（37.6s）===
