2026-09-26 00:21:30 [INFO] === 客服排程系統 run_id=48561ceb step=3 台北時間=2026-09-26 08:21:30 ===
2026-09-26 00:21:30 [INFO] 目標試算表 ID 來源：環境變數 SERVICE_TARGET_SPREADSHEET_ID
2026-09-26 00:21:30 [INFO] file_cache is only supported with oauth2client<4.0.0
2026-09-26 00:21:41 [INFO] --- Step3_更新前一天營業分數及營業額 ---
2026-09-26 00:21:42 [INFO] 信件日期（台北時間）：2026-09-25
2026-09-26 00:21:53 [INFO]   [mail] text/plain 為空，fallback 到 text/html（3165 字元）
2026-09-26 00:21:57 [INFO]   近三日營業額-台北 → 選中 17:25:03（與17:25差3s）
2026-09-26 00:21:57 [INFO]   [debug] 行57 repr='2026-09-23：39分'
2026-09-26 00:21:57 [INFO]   [debug] 行58 repr='2026-09-24：39分'
2026-09-26 00:21:57 [INFO]   [debug] 行59 repr='2026-09-25：14分'
2026-09-26 00:21:57 [INFO]   [debug] 行60 repr='【家電清潔】日營業額'
2026-09-26 00:21:57 [INFO]   [debug] 行61 repr='2026-09-23：0分'
2026-09-26 00:21:57 [INFO]   [debug] 行62 repr='2026-09-24：0分'
2026-09-26 00:21:57 [INFO]   [debug] 行63 repr='2026-09-25：0分'
2026-09-26 00:21:57 [INFO]   [debug] 行64 repr='【儲值金】日營業額'
2026-09-26 00:22:05 [INFO]   [mail] text/plain 為空，fallback 到 text/html（1143 字元）
2026-09-26 00:22:06 [INFO]   近三日營業額-台中 → 選中 17:25:06（與17:25差6s）
2026-09-26 00:22:06 [INFO]   [debug] 行25 repr='2026-09-23：1分'
2026-09-26 00:22:06 [INFO]   [debug] 行26 repr='2026-09-24：3分'
2026-09-26 00:22:06 [INFO]   [debug] 行27 repr='2026-09-25：0分'
2026-09-26 00:22:06 [INFO]   [debug] 行28 repr='【家電清潔】日營業額'
2026-09-26 00:22:06 [INFO]   [debug] 行29 repr='2026-09-23：0分'
2026-09-26 00:22:06 [INFO]   [debug] 行30 repr='2026-09-24：0分'
2026-09-26 00:22:06 [INFO]   [debug] 行31 repr='2026-09-25：0分'
2026-09-26 00:22:06 [INFO]   [debug] 行32 repr='【儲值金】日營業額'
2026-09-26 00:22:06 [INFO]   台北：{'daily_value': 14, 'total_count': 1246, 'total_amount': 2491800}
2026-09-26 00:22:06 [INFO]   台中：{'daily_value': 0, 'total_count': 152, 'total_amount': 303400}
2026-09-26 00:22:07 [INFO] Step 3 完成，row=2414（24.9s）
2026-09-26 00:22:08 [INFO] === 全部完成 run_id=48561ceb（25.7s）===
